Type,2LF7LR6RR5MR ,4R5M ,4L5L ,5L5M ,1L6R7L ,2LF7LR6RR ,2LF7LR ,1L7R ,5M6R ,4R5L5M6R ,5L5M6R ,3RR7RF ,2L6R ,5L7R ,2L6R7L ,4R5L6R7L ,6R7R ,7L7R ,4R5L5M ,5M6R7L ,1RR7RF ,4R5L ,4L4R ,6R7L ,2L2R ,1L1R ,4L4R5L ,3L3R ,6R7L7R ,1RR3LF ,1R7L ,1LF6RR ,1L4L ,1R4R5L ,1R2L ,1L6R7R ,1LR1RF ,1LF5MR ,1LR1LF4RF5LF ,1L3L ,1L5M ,2L3R ,2LF6RR ,2LF3LR7LF ,3LF3RF3RR ,3RR3RF ,3LF7LR6RR ,3LF7LR ,3R7R ,3LF7RR ,3LR6RF ,3LR7LF7RF ,3LR3LF3RF ,3RR3LR3LF ,4L5L6R ,4R4R5L ,4RR6RF7LF ,4R5L4R6R ,4RF5LF2LR ,4RF7LR ,4LF5MR ,4R4R5L5M ,4R5M7R ,4R6R7R ,4L5M ,4L4R2L ,5MF6RF2LR ,5MR5LR6RF ,5LR4RR2LF ,5LR4RR4RF ,5L5M7L ,5L6R7L7R ,5MR5LF1LR ,6RF7LF3LR ,6R3R7R ,6RF7LR6RR ,6RF7LF7LR6RR ,7LR7RF ,7L7L ,7LF7LR6RR ,7RR7LR6RR4RF ,7RR7RF ,1LF4RR ,1LF4LR ,1RR7LF ,1LR4LF ,2R7R ,2R7L ,2LR4RF5LF ,2L5M ,3LF3LR ,3RF3RR3LR ,3RF3RR2RF ,3L4R ,4R2L7R ,5M3R ,6RR7RF ,7RR6RR2RF ,1R4R ,1LF7LR6RR5LR ,4R2L2R ,4R5L5M6R7L ,1LF1RR ,1L5L ,2RR4RF ,2L7L ,4R7R ,5L7L ,1R4L ,1LF5LR4RR ,4R2L ,4R5L7L ,2RR4RF5LF ,2RR6RF7LF ,3RF3RR ,5M7L ,5M6R7R ,6R7L7L7R ,2LF4LR ,1R7R ,4R6R7L ,1R5L ,1LF7LR6RR ,5M6R7L7R ,4R6R ,4L4R5L6R ,4R5M6R7L ,5L5M7R ,4R5L5M7R ,4R5M6R ,5LF6RF7LF1LR ,1L4R5L5M ,7L7L7R ,5L6R ,4L4R5M ,1L4R ,1LF5LR ,3R4L ,6R7L7L ,4R5L7R ,3LF5MR1RF ,1L6R ,2L4R ,4L4R5L5M ,2R3R ,2RR6RF7RF ,4RF5LF1LR ,5L5M6R7L ,2RR6RF ,2L4R5L ,1RR5MF ,6RF7LF1LR ,3LF5MR ,2LF3LR ,2RR3RF ,2RR7RF ,5L6R7L ,4L7R ,1L4R5L ,4R5L6R ,1LF7LR ,5M7R ,2L7R 
NHLC_WT,3,4,1,8,2,5,1,4,16,5,44,10,4,4,6,1,5,39,163,182,5,28,78,52,194,181,201,230,712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NHLC_1A,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,25,3,19,0,0,0,56,19,49,92,231,94,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,1,29,0,0,36,0,0,719
NHLC_1B,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,2,14,0,0,2,53,47,68,87,269,115,3,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,2,1,1,37,0,0,35,0,0,748
NHLC_2A,0,4,2,9,0,0,0,0,16,9,45,0,0,0,0,0,6,36,196,205,0,43,94,61,266,163,240,279,798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NHLC_2B,0,2,1,9,0,0,0,0,34,5,57,0,0,0,0,0,4,31,221,182,0,49,120,60,274,259,271,337,784,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
NHLC_3A,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,43,8,22,0,0,0,112,106,146,183,173,217,242,763,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,70,0,0,98,0,0,0
NHLC_3B,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,66,4,28,0,3,1,120,117,133,213,169,278,309,908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,65,0,2,77,1,0,0
NHLC_4B,0,2,3,0,0,0,0,0,12,3,13,1,0,0,0,14,2,11,103,126,0,103,79,90,324,182,377,326,968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,35,0,0,0
NHLC_4C,0,1,2,1,0,0,0,0,0,0,9,0,1,0,1,39,0,28,154,63,0,273,76,81,235,173,104,214,1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,38,0,0,60,0,0,0
NHLC_5A,0,0,5,0,0,0,0,0,0,0,0,0,0,370,0,15,1,5,1,0,0,104,74,57,222,187,245,233,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,41,0,0,0
NHLC_5B,0,0,10,0,0,0,0,2,0,0,0,0,1,327,0,19,0,19,0,2,3,78,78,52,204,224,189,215,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,38,0,0,41,2,0,1
NHLC_6A,0,0,0,0,0,0,0,1,0,2,0,7,1,0,0,171,2,2,3,0,838,8,76,5,287,3,170,291,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,7,0,0,12,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,98,0,0,0,0,19,0,0,61,570,1,0
NHLC_6B,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,136,0,0,0,0,794,5,71,11,199,0,166,249,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,8,0,1,18,0,0,0,0,14,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,13,0,1,64,579,1,0
NHLC_7A,19,2,3,1,1,72,51,4,5,44,6,384,0,0,0,12,3,17,47,127,0,85,104,98,8,221,209,160,354,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,22,0,0,1,0,0,0,0,0,23,0,0,36,0,0,6
NHLC_7B,0,2,9,4,3,5,0,6,2,83,4,12,1,0,0,3,6,41,132,142,10,30,64,12,239,224,210,245,729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,68,0,0,0,1,0,0,3,8,1,0,0,3,5,3,4
NHLC_8A,0,0,5,0,0,0,0,27,0,0,0,0,0,1,0,51,0,33,1,1,390,138,104,95,300,136,252,291,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,94,0,0,0,1,55,0,1,81,330,0,0
NHLC_8B,0,0,2,0,0,0,0,65,0,0,0,0,0,0,0,41,4,19,0,0,409,144,102,98,326,105,198,307,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,1,66,0,0,96,343,0,0
NHLC_9A,0,2,5,9,0,1,0,0,20,12,63,1,1,0,0,0,3,48,212,198,0,53,99,36,282,185,247,306,813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
